frame,updown,date,0
23,1.0,2017-09-13,37.81682968139648
23,1.0,2017-09-14,37.49231719970703
23,1.0,2017-09-15,37.87131881713867
23,1.0,2017-09-18,37.5847053527832
23,1.0,2017-09-19,37.598907470703125
23,1.0,2017-09-20,36.96883392333984
23,1.0,2017-09-21,36.334014892578125
23,1.0,2017-09-22,35.978702545166016
23,1.0,2017-09-25,35.66129302978516
24,0.0,2017-11-07,41.4078369140625
24,0.0,2017-11-08,41.7465705871582
24,0.0,2017-11-09,41.66128921508789
24,0.0,2017-11-10,41.523414611816406
24,0.0,2017-11-13,41.35700225830078
24,0.0,2017-11-14,40.73179244995117
24,0.0,2017-11-15,40.19453430175781
24,0.0,2017-11-16,40.67473983764648
24,0.0,2017-11-17,40.44889450073242
24,0.0,2017-11-20,40.408485412597656
25,-1.0,2018-01-04,41.133544921875
25,-1.0,2018-01-05,41.60186004638672
25,-1.0,2018-01-08,41.44734191894531
25,-1.0,2018-01-09,41.44258499145508
25,-1.0,2018-01-10,41.43307495117188
25,-1.0,2018-01-11,41.66842651367188
25,-1.0,2018-01-12,42.09870147705078
25,-1.0,2018-01-16,41.88476943969727
25,-1.0,2018-01-17,42.5765380859375
25,-1.0,2018-01-18,42.61456298828125
26,0.0,2018-01-17,42.5765380859375
26,0.0,2018-01-18,42.61456298828125
26,0.0,2018-01-19,42.42438888549805
26,0.0,2018-01-22,42.07730865478516
26,0.0,2018-01-23,42.08682632446289
26,0.0,2018-01-24,41.41644287109375
26,0.0,2018-01-25,40.67711639404297
26,0.0,2018-01-26,40.77219772338867
26,0.0,2018-01-29,39.92827606201172
26,0.0,2018-01-30,39.69293212890625
27,1.0,2018-01-26,40.77219772338867
27,1.0,2018-01-29,39.92827606201172
27,1.0,2018-01-30,39.69293212890625
27,1.0,2018-01-31,39.80228042602539
27,1.0,2018-02-01,39.88548278808594
27,1.0,2018-02-02,38.15484619140625
27,1.0,2018-02-05,37.20157623291016
27,1.0,2018-02-06,38.756290435791016
27,1.0,2018-02-07,37.92664337158203
27,1.0,2018-02-08,36.88301849365234
28,0.0,2018-02-16,41.15803527832031
28,0.0,2018-02-20,41.01958847045898
28,0.0,2018-02-21,40.83341217041016
28,0.0,2018-02-22,41.17473983764648
28,0.0,2018-02-23,41.89082717895508
28,0.0,2018-02-26,42.71909713745117
28,0.0,2018-02-27,42.58064651489258
28,0.0,2018-02-28,42.51619338989258
28,0.0,2018-03-01,41.77147674560547
