,indicator,1,2,3,4,5,6
198,1,149.493955614,149.53377554,149.593405878,149.772695093,148.448682568,148.259537921
199,0,153.804462559,153.724822707,153.714867726,153.635227875,153.74473267,153.077748917
200,-1,157.328525972,157.288706047,157.686905303,158.284204186,158.383754,159.44893701
201,0,155.297709768,155.277799805,156.422622665,156.701362145,157.278751066,157.159291289
202,1,159.130377605,157.318570991,156.890506791,155.695909024,155.297709768,155.277799805
203,0,161.619122954,161.051689014,161.171148791,159.916821135,159.777451396,159.200062475
204,-1,160.298893321,160.842634405,160.832679424,161.061643996,161.549438084,161.828177563
205,0,155.755638912,156.392757721,157.228976159,159.797361359,159.847136266,159.478801954
206,1,158.543033703,158.343934075,157.0995614,157.696860284,155.347882874,155.09861014
207,0,163.341334735,163.381154661,163.142235107,161.489708196,161.370248419,161.758492693
208,-1,165.173051312,165.272601126,165.183006293,165.461745772,165.396042895,166.765748785
209,0,162.455341391,163.858993768,162.973000424,163.032730312,161.698762805,161.907817414
210,1,163.411019605,160.633579796,161.260743624,161.569348047,161.788357638,160.374750279
211,0,162.744035852,163.281604847,163.241784921,163.958543582,163.679804103,163.59020927
212,-1,162.087007079,163.112370163,162.744035852,163.281604847,163.241784921,163.958543582
213,0,153.436128247,152.161890628,152.062340814,151.216167396,154.262391703,154.421671405
214,1,154.302211628,154.013517168,153.436128247,152.161890628,152.062340814,151.216167396
215,0,162.037232172,162.455341391,161.09150894,159.961618552,159.030827791,159.190107493
216,-1,162.714170907,163.580254289,163.829128824,164.078003359,164.386607782,165.053591535
217,0,161.997412247,161.420023326,162.714170907,163.580254289,163.829128824,164.078003359
218,1,165.551340605,161.509618159,162.973000424,164.754942093,164.555842466,159.279702326
219,0,166.049089675,165.571250568,165.551340605,161.509618159,162.973000424,164.754942093
220,0,166.009269749,166.377604061,166.049089675,165.571250568,165.551340605,161.509618159
221,0,170.648291079,170.130632047,169.971352345,170.070902159,170.230181861,169.986284817
222,-1,171.474554535,171.424779628,171.106220224,171.215725019,171.22568,171.574104349
223,0,168.139635768,170.240136842,170.777705838,170.747840893,168.119725805,169.483558256
224,1,167.283507368,167.562246847,167.821076363,167.612021754,167.343237256,164.506067559
225,0,174.600418693,174.759698396,174.709923489,174.809473303,173.216676279,172.967801745
226,-1,174.461048954,174.64521611,174.799518321,174.112624605,174.59693445,175.486412038
227,0,171.245589963,171.613924275,171.733384052,171.623879256,171.026580373,171.424779628
228,1,172.768702117,171.703519107,170.717975949,170.946940521,169.523378182,169.254593684
229,0,173.383652478,173.542729171,173.274287252,173.870824849,173.304114132,171.126751904
230,-1,172.498788377,172.230346458,173.383652478,173.542729171,173.274287252,173.870824849
231,0,171.275886303,171.385251529,171.35542465,171.703404914,172.155779258,171.773000967
232,1,164.793511086,164.793511086,164.067723677,163.341936267,161.860534569,160.925959001
233,0,158.301193575,165.449702442,164.793511086,164.793511086,164.067723677,163.341936267
234,-1,157.674829099,157.853790378,157.366618007,156.591119131,158.301193575,165.449702442
235,0,161.244112386,159.156230797,157.674829099,157.853790378,157.366618007,156.591119131
236,0,160.766882308,160.746997722,161.244112386,159.156230797,157.674829099,157.853790378
237,-1,158.599462374,159.583749408,158.401610737,160.766882308,160.746997722,161.244112386
238,0,159.842249033,159.424672716,158.360847335,158.410558801,158.599462374,159.583749408
239,1,160.428844337,160.836478361,161.780996223,161.631861824,158.162001469,156.909272516
240,0,160.657517082,160.428844337,160.836478361,161.780996223,161.631861824,158.162001469
241,-1,161.512554304,158.461264497,160.657517082,160.428844337,160.836478361,161.780996223
242,0,160.597863323,161.65174641,161.890361449,161.512554304,158.461264497,160.657517082
243,1,158.58952008,160.597863323,161.65174641,161.890361449,161.512554304,158.461264497
244,0,157.068349209,158.58952008,160.597863323,161.65174641,161.890361449,161.512554304
245,-1,156.392273266,157.068349209,158.58952008,160.597863323,161.65174641,161.890361449
246,0,158.907673465,158.470212561,156.103946761,156.392273266,157.068349209,158.58952008
247,1,156.31273492,156.228225427,157.008695449,158.907673465,158.470212561,156.103946761
248,0,156.809849584,156.3425618,156.362446386,156.113889054,156.31273492,156.228225427
249,-1,153.807277014,155.875274015,155.119659726,156.3425618,159.882018207,160.051037192
250,0,155.477582284,153.807277014,155.875274015,155.119659726,156.3425618,159.882018207
251,1,159.086634744,157.98304019,157.585348459,156.730311237,155.477582284,153.807277014
252,0,163.073494349,162.307937766,162.407360699,162.119034194,161.363419905,161.452900545
253,-1,166.135720679,165.449702442,164.858135992,165.797682707,167.497814858,167.806025949
254,0,167.398391925,166.573181583,164.982414658,164.057781383,164.614549807,164.356050182
255,1,166.354451131,167.358622752,167.398391925,166.573181583,164.982414658,164.057781383
256,0,170.102695697,170.788713933,170.997502092,172.021558299,172.071269766,172.101096645
257,-1,174.000074662,173.990132368,174.049786128,173.642152104,174.536958499,174.745746657
258,0,171.594039688,172.737403415,172.866653228,173.393594772,173.930478609,174.000074662
259,1,170.649521827,170.410906788,169.018985729,168.024756401,167.706603017,167.199546059
260,0,178.285203065,178.553644983,178.305087651,178.096299492,177.738376934,176.535359448
261,-1,180.959679956,180.85031473,180.701180331,181.049160596,181.765005712,181.963851577
262,0,176.69443614,176.296744409,176.614897794,176.237090649,176.331542435,176.266917529
263,1,177.629011708,177.062300991,177.072243285,176.883339712,176.952935765,176.097898543
264,0,178.51387581,178.414452877,178.215607012,178.165895545,177.986934266,178.215607012
265,-1,179.100471113,179.209836339,176.714320727,178.762433142,179.199894046,179.955508335
266,0,169.168120128,169.854138365,169.943619004,169.655292499,169.864080658,170.410906788
267,1,169.516100393,170.11263799,170.361195322,170.152407163,170.470560548,166.086009212
