frame,updown,date,0
23,1.0,2018-06-19,110.53011322021484
23,1.0,2018-06-20,109.55464935302734
23,1.0,2018-06-21,108.49461364746094
23,1.0,2018-06-22,108.5177001953125
23,1.0,2018-06-25,106.6051025390625
23,1.0,2018-06-26,106.82785034179688
23,1.0,2018-06-27,105.5988998413086
24,0.0,2018-07-30,111.75140380859376
24,0.0,2018-07-31,111.32125091552734
24,0.0,2018-08-01,110.22286224365234
24,0.0,2018-08-02,109.80809783935548
24,0.0,2018-08-03,113.44890594482422
24,0.0,2018-08-06,112.16615295410156
24,0.0,2018-08-07,112.9188995361328
24,0.0,2018-08-08,112.82673645019533
24,0.0,2018-08-09,112.39974975585938
24,0.0,2018-08-10,112.174560546875
25,-1.0,2018-09-19,115.73046112060548
25,-1.0,2018-09-20,117.35315704345705
25,-1.0,2018-09-21,117.50845336914062
25,-1.0,2018-09-24,116.4835968017578
25,-1.0,2018-09-25,115.61402893066406
25,-1.0,2018-09-26,117.71028900146484
25,-1.0,2018-09-27,117.62490844726562
25,-1.0,2018-09-28,117.3997573852539
25,-1.0,2018-10-01,118.78949737548828
25,-1.0,2018-10-02,119.37181854248048
26,0.0,2018-09-21,117.50845336914062
26,0.0,2018-09-24,116.4835968017578
26,0.0,2018-09-25,115.61402893066406
26,0.0,2018-09-26,117.71028900146484
26,0.0,2018-09-27,117.62490844726562
26,0.0,2018-09-28,117.3997573852539
26,0.0,2018-10-01,118.78949737548828
26,0.0,2018-10-02,119.37181854248048
26,0.0,2018-10-03,118.96033477783205
26,0.0,2018-10-04,117.47737121582033
27,1.0,2018-10-17,104.07669830322266
27,1.0,2018-10-18,101.35929107666016
27,1.0,2018-10-19,100.23350524902344
27,1.0,2018-10-22,100.9477767944336
27,1.0,2018-10-23,101.87171173095705
27,1.0,2018-10-24,98.76610565185548
27,1.0,2018-10-25,98.17601013183594
27,1.0,2018-10-26,96.88719940185548
27,1.0,2018-10-29,92.88873291015624
27,1.0,2018-10-30,89.5968017578125
28,0.0,2018-11-09,97.13834381103516
28,0.0,2018-11-12,95.06251525878906
28,0.0,2018-11-13,95.0153350830078
28,0.0,2018-11-14,94.51211547851562
28,0.0,2018-11-15,95.48712158203124
28,0.0,2018-11-16,95.58934783935548
28,0.0,2018-11-19,94.59860229492188
28,0.0,2018-11-20,92.15324401855467
28,0.0,2018-11-21,93.23046875
28,0.0,2018-11-23,92.14540100097656
29,-1.0,2018-11-19,94.59860229492188
