,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
62,-1,157.563115937,156.799385326,155.35678306,156.160447298,156.639650819,156.829335546,156.739484886,156.549800159,156.230331145,156.420015872,156.489899719,156.449966092,156.559783565,157.038987086,156.76953494,156.205372628,156.049232148,156.830333886,157.62800808,158.077261381
63,0,151.048943078,148.952427675,148.922477455,148.952427675,148.902510641,149.361747349,150.854266647,151.837632205,151.687881105,152.906555559,152.70529008,152.835972874,154.283566842,154.303533656,154.383400909,154.533152009,154.752786956,153.594711781,153.245292547,153.285226174
64,1,154.662936296,154.702869923,154.77275377,154.611122415,151.817565558,152.391711276,152.975740567,153.165425294,152.137134406,152.097200779,151.797698579,151.438295938,151.098860111,151.098860111,150.569739557,150.639623404,151.138793738,150.789374504,149.930801529,148.2436058
65,0,156.075588341,156.050629825,155.526500974,154.543135416,153.594711781,153.624662001,153.794379915,153.934147608,154.004031455,154.942471683,154.543135416,154.632986076,153.125491667,154.283566842,155.791061251,156.301213332,155.531492677,154.882671077,154.073915302,153.859272058
66,-1,164.406741216,159.335170623,158.007477368,156.969103239,156.075588341,156.050629825,155.526500974,154.543135416,153.594711781,153.624662001,153.794379915,153.934147608,154.004031455,154.942471683,154.543135416,154.632986076,153.125491667,154.283566842,155.791061251,156.301213332
67,0,164.237023303,164.326873963,164.406741216,159.335170623,158.007477368,156.969103239,156.075588341,156.050629825,155.526500974,154.543135416,153.594711781,153.624662001,153.794379915,153.934147608,154.004031455,154.942471683,154.543135416,154.632986076,153.125491667,154.283566842
68,1,164.27695693,164.237023303,164.326873963,164.406741216,159.335170623,158.007477368,156.969103239,156.075588341,156.050629825,155.526500974,154.543135416,153.594711781,153.624662001,153.794379915,153.934147608,154.004031455,154.942471683,154.543135416,154.632986076,153.125491667
69,0,163.178782195,163.558151649,163.448334175,163.578118462,163.877620662,164.27695693,164.237023303,164.326873963,164.406741216,159.335170623,158.007477368,156.969103239,156.075588341,156.050629825,155.526500974,154.543135416,153.594711781,153.624662001,153.794379915,153.934147608
70,-1,158.526514681,158.546481495,158.646315562,159.215369742,158.995734795,161.346827069,161.142167232,161.626362456,162.819379554,163.862645552,163.298583075,163.178782195,163.558151649,163.448334175,163.578118462,163.877620662,164.27695693,164.237023303,164.326873963,164.406741216
71,0,156.385073948,156.589733785,156.594725489,156.819352139,156.899219393,157.088904119,157.23865522,157.218688406,157.17875478,157.23865522,158.526514681,158.546481495,158.646315562,159.215369742,158.995734795,161.346827069,161.142167232,161.626362456,162.819379554,163.862645552
